STCOFIPS,fips-int,CountyName,State,totalfertN-kg-1987,totalfertN-kg-1992,totalfertN-kg-1997,totalfertN-kg-2002,totalfertN-kg-2007,totalfertN-kg-2012,totalfertN-kg-2017,totalfertP-kg-1987,totalfertP-kg-1992,totalfertP-kg-1997,totalfertP-kg-2002,totalfertP-kg-2007,totalfertP-kg-2012,totalfertP-kg-2017
36049,36049,Lewis,NY,1323023,1111527,823713,1008377,918707,1276227,1645980,465864,389894,239117,259335,168625,211641,273178
36051,36051,Livingston,NY,2704770,2876168,2616881,2513362,2948656,2842889,3748983,950993,1007205,759054,645010,540807,470654,644213
36053,36053,Madison,NY,1747394,1796597,1137827,1218469,1294751,1218766,1402127,612904,626323,327439,310375,235845,200412,265604
36055,36055,Monroe,NY,2673966,2974203,2474563,2433411,3029993,3693146,3907730,870377,917109,629452,538723,504236,568637,642717
36057,36057,Montgomery,NY,1123550,1253036,1007399,1178968,930735,964345,1130539,393493,436354,290414,301289,169574,158748,221793
36059,36059,Nassau,NY,609973,738796,771943,774603,,617397,714550,150358,150023,147929,125258,,65327,105796
36061,36061,New York,NY,,,,67518,,,57963,,,,11393,,,8526
36063,36063,Niagara,NY,1977061,2148698,1967674,1946465,3132173,2223969,3010166,680386,726849,552725,482803,565308,360092,581769
36065,36065,Oneida,NY,2050886,2493451,1630000,1651513,1672197,1945737,2227178,707642,850700,457784,409743,298018,315200,413236
36067,36067,Onondaga,NY,2166728,2449827,1914067,2350768,2271718,2068352,2667332,724264,792444,510464,561328,390908,320668,523584
36069,36069,Ontario,NY,2839991,3093635,2831029,2647414,2718297,2833841,3669089,996506,1079747,818539,676589,496431,467372,658197
36071,36071,Orange,NY,1801639,1809341,1511682,1553257,1276308,1026059,1444010,613696,596050,410465,368536,214723,153341,262018
36073,36073,Orleans,NY,2623353,3059568,2251781,2249174,2037293,3755985,3601487,923238,1073371,653735,577964,373688,623051,658720
36075,36075,Oswego,NY,1129310,1175551,610781,717839,737111,821960,805976,392068,402484,170119,177671,131205,132869,141448
36077,36077,Otsego,NY,1198772,1613293,773100,1343127,650222,755529,743395,420258,563477,222187,343576,117843,124032,134070
36079,36079,Putnam,NY,78130,80511,90807,94827,140293,73992,144231,21607,17321,18131,15694,20483,7856,24502
36081,36081,Queens,NY,217208,265094,259856,281036,,216002,259134,52126,51726,46610,44315,,21744,36530
36083,36083,Rensselaer,NY,795197,881570,835619,632705,773616,906964,829873,270448,292830,231585,151807,135235,144671,152155
36085,36085,Richmond,NY,117124,142655,139150,150283,229024,,138537,28394,28275,25190,23900,33183,,19952
36087,36087,Rockland,NY,297181,367024,371576,406388,630225,341553,392377,74422,76263,69553,64992,91194,34741,55988
36089,36089,St. Lawrence,NY,1498911,1839586,1290778,1542275,1223005,1309827,2155524,524419,640150,371098,393184,222280,215229,411699
36091,36091,Saratoga,NY,736175,724949,689277,792880,823845,698451,921695,249048,234543,185711,188728,141635,107409,166192
36093,36093,Schenectady,NY,166986,377384,202355,231273,279291,160899,242392,45206,109129,42710,44199,41678,18467,41078
36095,36095,Schoharie,NY,582823,650960,508283,619937,391987,487138,577574,204305,226870,146628,158510,71245,80206,100143
36097,36097,Schuyler,NY,351633,324755,198297,286622,361666,383638,680507,123261,112977,56846,73034,66067,63320,134366
36099,36099,Seneca,NY,1621915,1929269,1543596,1766752,1478756,1728483,2479866,570467,676521,448108,454093,271166,286314,425124
36101,36101,Steuben,NY,2345342,2794466,1856754,1939977,2036524,2517794,3441029,822811,976067,535924,495526,371990,415909,631629
36103,36103,Suffolk,NY,4174223,4929238,4074279,4528239,5037705,3442340,4010299,1324028,1477027,999563,973888,808856,471586,633067
36105,36105,Sullivan,NY,231003,358188,224340,284736,199279,117954,141048,78441,120500,61378,69520,34144,17529,24927
36107,36107,Tioga,NY,780404,704294,506600,931266,406310,295120,591476,272676,243344,144527,237366,73026,47594,111459
36109,36109,Tompkins,NY,863387,811118,823096,803816,1024016,587349,855620,298992,275436,232809,200334,184251,93890,154872
36111,36111,Ulster,NY,911600,961753,561568,706256,633983,453857,798003,312358,321895,151706,170174,109347,69338,149538
36113,36113,Warren,NY,38806,46485,60843,50951,63523,47375,48714,11195,11714,14364,9778,9607,6149,8607
36115,36115,Washington,NY,2188519,3285789,1628605,1866697,1762159,1124889,1436409,769319,1152188,471465,478606,322545,185299,229111
36117,36117,Wayne,NY,2263153,3101818,2553008,2094224,2283834,2794727,3507356,793305,1083244,737882,534379,416913,461461,679732
36119,36119,Westchester,NY,934826,1158456,1109498,1334674,1791569,934123,1099772,230091,238563,204857,229657,261057,98229,158622
36121,36121,Wyoming,NY,2611815,2901662,1828341,2605297,2468768,3382757,4877823,919318,1018260,530635,670248,453385,561195,795468
36123,36123,Yates,NY,1296694,1394630,1134833,1218188,1311676,1432193,2160517,456421,489305,329569,313197,240816,237407,436038
37001,37001,Alamance,NC,1333171,1747621,1841992,844067,1285637,1011298,1193074,280779,382489,393415,240611,307048,289590,250257
37003,37003,Alexander,NC,873912,732251,924543,474212,629741,396353,698582,179605,159436,195434,136146,142643,113752,152077
37005,37005,Alleghany,NC,632940,809282,872948,446587,1107729,699075,840297,129215,175606,183601,128584,243032,200972,173101
37007,37007,Anson,NC,691100,817975,1028996,682726,694340,662865,992657,141884,177760,216836,196475,154373,190492,204258
37009,37009,Ashe,NC,552731,485936,870975,820798,1288412,639962,1205322,113697,105786,183660,236254,284281,183894,219243
37011,37011,Avery,NC,202238,251406,637222,442217,758918,270686,567977,42022,54816,134350,127221,167804,77749,106675
37013,37013,Beaufort,NC,4112146,4805887,6010359,3722534,4979933,4539614,5521335,838554,1042592,1263379,1072278,1092532,1305145,1303583
37015,37015,Bertie,NC,3060864,3323655,3589543,2747903,2842233,2511181,3509403,623392,720783,754210,791735,622556,722010,773039
37017,37017,Bladen,NC,2415678,2448740,2659454,2004859,2521636,1635829,2766137,492672,531307,559295,577450,553965,470239,604088
37019,37019,Brunswick,NC,872909,787601,1470097,1042489,1209575,964430,1374442,180377,171873,311059,299376,277197,276669,327266
37021,37021,Buncombe,NC,1257237,1119365,1241127,965481,947580,1728212,2193089,271585,248654,271468,274103,249465,495001,385141
37023,37023,Burke,NC,438398,392251,414775,491952,573329,252097,822114,95058,87202,91030,140320,138708,71915,154002
37025,37025,Cabarrus,NC,1062930,807764,1177456,997702,1279005,1069462,1203048,225027,178588,253854,284635,312365,305911,273026
37027,37027,Caldwell,NC,387034,288558,534824,412246,403161,237196,379082,84280,64534,115706,117538,100200,67687,78479
37029,37029,Camden,NC,1483192,1671200,1771057,1343555,2076246,1718589,2402540,301842,362352,372033,387127,454350,494137,461775
37031,37031,Carteret,NC,1531408,1649851,2157103,1186266,946990,886342,1562221,314893,358954,455277,341009,215269,254484,301659
